pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,success,method,dimer_rot,dimer_trans,init_energy,barrier,mol_id,spin,scf,rmsd_init_saddle,nghost,min_energy,rmsd_min_sad,rmsd_min_init
30,21,241.0,-6318.266003,0.0042,True,Sella,n/a,n/a,-6310.541742,-7.724260999999387,018,doublets,,0.24646576430693126,0,-6320.899134,0.4328515336466466,0.43331179149131016
24,18,198.0,-10384.619216,0.0088,True,Sella,n/a,n/a,-10383.619069,-1.000146999998833,018,singlets,,0.47398659608033317,0,-10387.562532,0.46757024547154663,0.3775679675550514
18,14,84.0,-5262.148065,0.0059,True,Sella,n/a,n/a,-5261.747494,-0.40057100000012724,019,doublets,,0.11874029789951966,0,-5263.485062,0.4716211735961427,0.4946591099897789
40,27,325.0,-8389.807184,0.0092,True,Sella,n/a,n/a,-8388.063809,-1.7433750000000146,019,singlets,,3.2662103177239157,0,-8394.668531,0.9614696360990053,0.7392650001481398
40,33,331.0,-8342.835673,0.0091,True,Sella,n/a,n/a,-8342.52866,-0.3070129999996425,020,doublets,,0.36544950536418735,0,-8346.595504,0.3552779168182371,0.46095141840054976
37,26,318.0,-8387.548277,0.0093,True,Sella,n/a,n/a,-8385.286623,-2.2616539999999077,020,singlets,,0.5533991973121604,0,-8394.620847,1.4127245212897799,0.4556006155630601
25,17,240.0,-6350.718536,0.0081,True,Sella,n/a,n/a,-6348.535093,-2.1834429999998974,021,doublets,,0.6986937830327311,0,-6352.252662,0.7673103220329853,1.6482890024609456
36,28,412.0,-9443.568587,0.0071,True,Sella,n/a,n/a,-9440.932534,-2.6360530000001745,021,singlets,,2.797029730357591,0,-9450.642448,0.48545333527670376,2.262545133469595
19,9,65.0,-6264.015129,0.0092,True,Sella,n/a,n/a,-6263.481525,-0.5336040000001958,022,doublets,,0.2802398549731716,0,-6264.664359,1.0496630473872413,0.9253337957373318
45,29,191.0,-5275.140261,0.0086,True,Sella,n/a,n/a,-5272.213016,-2.927244999999857,022,singlets,,0.456242788365175,0,-5281.416308,0.3109556930138062,0.35821718598655466
43,30,483.0,-6348.963487,0.0081,True,Sella,n/a,n/a,-6343.846564,-5.116922999999588,023,doublets,,0.4708444569110791,0,-6352.228755,0.459516407983755,1.7787596018708598
42,39,218.0,-10294.515403,0.0031,True,Sella,n/a,n/a,-10292.400255,-2.1151479999989533,023,singlets,,0.4893996269724263,0,-10299.332092,0.7359373738941515,1.2243396460324687
22,13,88.0,-6262.274977,0.0071,True,Sella,n/a,n/a,-6261.631685,-0.6432919999997466,024,doublets,,0.25096702686997074,0,-6265.567953,0.4970095845103474,0.5919122534331079
28,18,109.0,-7300.602309,0.0067,True,Sella,n/a,n/a,-7296.530785,-4.071523999999954,024,singlets,,0.2745844534535683,0,-7306.578028,0.9365828091149413,0.6073050385377872
27,21,451.0,-8461.149224,0.0072,True,Sella,n/a,n/a,-8459.960724,-1.1885000000002037,025,doublets,,3.4559216700314646,0,-8464.855537,1.5607274294832114,2.015241830327309
54,37,659.0,-9414.358739,0.0076,True,Sella,n/a,n/a,-9411.517662,-2.8410769999991317,025,singlets,,0.4244166530685271,0,-9419.321521,0.9199470676830477,2.660659206768829
31,16,31.0,-4238.268181,0.0091,True,Sella,n/a,n/a,-4236.432807,-1.835374000000229,026,doublets,,0.2562491128873448,0,-4238.600218,1.249762221163694,1.8976305144507892
33,23,277.0,-8387.545408,0.0042,True,Sella,n/a,n/a,-8384.613439,-2.931968999999299,026,singlets,,1.89862090986105,0,-8394.654585,0.9509958169290044,3.593954583727199
19,13,360.0,-8462.146097,0.0044,True,Sella,n/a,n/a,-8461.063301,-1.0827960000005987,027,doublets,,0.34413765116869754,0,-8464.940969,0.8526322415137809,0.718009949780723
