pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,success,method,dimer_rot,dimer_trans,init_energy,barrier,mol_id,spin,scf,rmsd_init_saddle,nghost,min_energy,rmsd_min_sad,rmsd_min_init
38,32,1654.576,-8354.736713,0.0034967,True,GPRD,lbfgs,lbfgs,-8354.103287854323,-0.6334251456773927,033,singlets,,4.223884968575875,0.0,-8362.906882,5.19628971171818,0.5926259222988771
34,27,937.46,-7319.891076,0.0021083,True,GPRD,lbfgs,lbfgs,-7317.8732316747655,-2.017844325234364,034,doublets,,0.6715028888977388,0.0,-7320.228671,2.091794402596704,0.9988581082751964
19,11,109.063,-5159.048535,0.00195404,True,GPRD,lbfgs,lbfgs,-5154.222708174663,-4.825826825336662,034,singlets,,0.8270541474522451,0.0,-5161.724737,2.800127161409939,1.5123227322667925
22,16,455.313,-9342.500259,0.00154266,True,GPRD,lbfgs,lbfgs,-9342.115910061935,-0.384348938065159,035,doublets,,0.08258092341262756,0.0,-9344.911406,4.0172431088748155,0.7122128522404074
20,13,127.894,-7217.537558,0.00406234,True,GPRD,lbfgs,lbfgs,-7216.5993700337995,-0.9381879662005304,035,singlets,,0.4979737370982495,0.0,-7220.243833,33.05456040769331,1.130818957794927
37,29,1396.71,-9313.322132,0.00267395,True,GPRD,lbfgs,lbfgs,-9312.469548010406,-0.8525839895937679,036,doublets,,0.20770601428623572,0.0,-9315.677172,7.407210085718159,4.713230348693429
38,31,3104.871,-9443.734626,0.00190262,True,GPRD,lbfgs,lbfgs,-9441.385471733583,-2.349154266416008,036,singlets,,10.681504737467035,0.0,-9450.823744,1.1638917457764941,1.1756920767468892
27,21,461.713,-8286.796856,0.00267395,True,GPRD,lbfgs,lbfgs,-8286.572586557335,-0.2242694426659,037,doublets,,0.19623241177853618,0.0,-8289.515504,22.593454429807796,10.741962205990363
39,31,445.965,-4219.213491,0.00437088,True,GPRD,lbfgs,lbfgs,-4218.000823592433,-1.2126674075670962,037,singlets,,3.3832420146882636,0.0,-4224.06042,12.645210201050913,0.42183601451345787
33,26,2474.836,-8462.227446,0.00185119,True,GPRD,lbfgs,lbfgs,-8459.923908229273,-2.3035377707274165,038,doublets,,0.43863451795975855,0.0,-8464.708314,3.2302739054010567,2.871959976556757
50,43,2918.692,-9325.654503,0.00421661,True,GPRD,lbfgs,lbfgs,-9322.609260421128,-3.0452425788716937,038,singlets,,1.1514949619097732,0.0,-9333.292947,0.8392239649499941,0.9515309034912681
33,25,583.208,-5262.648161,0.00339386,True,GPRD,lbfgs,lbfgs,-5261.275652558276,-1.3725084417237667,039,doublets,,2.95555857339645,0.0,-5263.360548,1.4914684176437898,1.1420617068469838
35,29,591.614,-5274.3691,0.0030339,True,GPRD,lbfgs,lbfgs,-5272.57437694284,-1.7947230571598993,039,singlets,,0.9458082030658019,0.0,-5281.416305,23.774395073407913,0.48761853527229465
26,20,203.604,-5175.037559,0.00241684,True,GPRD,lbfgs,lbfgs,-5174.64507989459,-0.3924791054105299,040,doublets,,0.26813491732565925,0.0,-5177.729431,0.346290593320234,0.7135739089620041
29,21,1072.811,-10386.799291,0.00215973,True,GPRD,lbfgs,lbfgs,-10378.405843186121,-8.393447813878083,040,singlets,,1.1022771184929352,0.0,-10389.716489,1.4990304521870061,0.7180184349292357
32,24,701.963,-9312.150924,0.00241684,True,GPRD,lbfgs,lbfgs,-9312.501515169766,0.35059116976663063,041,doublets,,0.3030201531112065,0.0,-9316.111412,0.749412507844806,0.40618450265120615
53,47,6636.462,-9447.522058,0.00339386,True,GPRD,lbfgs,lbfgs,-9446.6099287398,-0.9121292602012545,041,singlets,,24.611027570046808,0.0,-9451.041333,1.6823086252431538,28.97918496859978
18,12,114.151,-4203.700799,0.00318817,True,GPRD,lbfgs,lbfgs,-4202.0839358078865,-1.6168631921136694,042,doublets,,0.18856210687740868,0.0,-4206.908826,0.7639085986535982,0.7123137678076144
30,22,377.899,-7268.578425,0.00467941,True,GPRD,lbfgs,lbfgs,-7265.3394546975005,-3.238970302499183,042,singlets,,0.470493672979808,0.0,-7274.80364,31.05063765250627,1.074243683954337
43,37,1300.277,-8288.589288,0.00359954,True,GPRD,lbfgs,lbfgs,-8285.828074363711,-2.761213636287721,043,doublets,,31.373987608348116,0.0,-8288.660549,27.89130480510832,1.0819338344577967
44,37,1931.859,-7334.981202,0.00154266,True,GPRD,lbfgs,lbfgs,-7334.136663151666,-0.8445388483341958,043,singlets,,11.250807655609101,0.0,-7338.401605,2.579974698214807,1.1483347385743572
32,25,684.001,-7318.187753,0.00200546,True,GPRD,lbfgs,lbfgs,-7317.455807317176,-0.7319456828245166,044,doublets,,0.15956806340787733,0.0,-7320.458559,0.5139570145549494,0.5255339777238504
35,27,1364.944,-10386.439259,0.00195404,True,GPRD,lbfgs,lbfgs,-10384.883335806599,-1.5559231934021227,044,singlets,,0.8389444713325495,0.0,-10389.166409,1.4028787122852426,25.536002585023642
58,50,9641.255,-9433.025644,0.00159408,True,GPRD,lbfgs,lbfgs,-9431.300965368886,-1.7246786311134201,045,doublets,,4.449341524582473,0.0,,3.9619179647495604,5.6192530868555215
26,20,232.458,-5189.497389,0.00323959,True,GPRD,lbfgs,lbfgs,-5187.196022177303,-2.301366822696764,045,singlets,,0.8002543890090873,0.0,-5192.991172,0.4092892333632564,1.6410241631541331
23,18,466.313,-6350.860831,0.0034967,True,GPRD,lbfgs,lbfgs,-6349.743458127506,-1.117372872494343,046,doublets,,0.3879868373583845,0.0,-6352.15799,0.47883027438000664,0.13610195836157366
24,16,506.129,-6331.012384,0.00375381,True,GPRD,lbfgs,lbfgs,-6329.3487363289805,-1.6636476710191346,046,singlets,,0.48259392282103447,0.0,-6337.991814,25.82748093748183,0.4503112670421466
26,20,1491.099,-8462.147268,0.00226257,True,GPRD,lbfgs,lbfgs,-8460.568838371784,-1.5784296282163268,047,doublets,,0.3425555412724261,0.0,-8464.676835,0.3564456778707399,0.3978866441509949
43,37,1633.713,-9327.918942,0.0013884,True,GPRD,lbfgs,lbfgs,-9326.08114197331,-1.837800026689365,047,singlets,,1.7049763513442475,0.0,-9333.292939,32.7307070387055,16.715034214362344
